time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073909
0.015000,0.523317
0.020000,-0.426588
0.025000,0.915925
0.030000,-0.297042
0.035000,0.181241
0.040000,-0.571194
0.045000,0.307487
0.050000,-1.088415
0.055000,-0.002584
0.060000,0.407097
0.065000,-0.804473
0.070000,0.970505
0.075000,0.592132
0.080000,0.169849
0.085000,0.484865
0.090000,0.753669
0.095000,-0.054955
0.100000,0.815502
0.105000,1.030227
0.110000,0.290115
0.115000,0.026443
0.120000,-0.171766
0.125000,-0.124573
0.130000,-1.028125
0.135000,-0.080942
0.140000,0.057965
0.145000,0.410903
0.150000,0.251727
0.155000,-0.606353
0.160000,0.444785
0.165000,-0.069880
0.170000,0.319287
0.175000,0.885192
0.180000,0.061823
0.185000,-0.651946
0.190000,-0.685760
0.195000,-0.032309
0.200000,0.685177
0.205000,-0.674007
0.210000,-0.508876
0.215000,0.147527
0.220000,-0.751157
0.225000,-0.189711
0.230000,0.078735
0.235000,-0.297000
0.240000,-0.246302
0.245000,-0.529166
0.250000,-0.072962
0.255000,-0.679655
0.260000,0.202045
0.265000,-0.262264
0.270000,-0.403102
0.275000,-0.502582
0.280000,0.093170
0.285000,0.255697
0.290000,-0.516125
0.295000,-0.278856
0.300000,-0.024046
0.305000,-0.302781
0.310000,0.611466
0.314999,-0.006241
0.319999,0.546370
0.324999,0.536796
0.329999,0.612295
0.334999,-0.092210
0.339999,-0.249189
0.344999,-0.020258
0.349999,-0.598128
0.354999,-0.173231
0.359999,0.154019
0.364999,0.535043
0.369999,1.191638
0.374999,0.296644
0.379999,-0.143763
0.384999,-0.593918
0.389999,0.319652
0.394998,0.206473
0.399998,0.009700
0.404998,-0.799373
0.409998,0.262430
0.414998,-0.204112
0.419998,0.457948
0.424998,0.113958
0.429998,-0.529594
0.434998,-0.312413
0.439998,-0.203948
0.444998,0.063210
0.449998,-0.977876
0.454998,-1.204116
0.459998,0.051812
0.464998,0.374671
0.469997,-0.546528
0.474997,-0.486556
0.479997,0.908558
0.484997,0.214337
0.489997,-0.599240
0.494997,-0.102740
0.499997,-0.257085
0.504997,0.337844
0.509997,-0.373252
0.514997,0.231378
0.519997,-0.093033
0.524997,0.016853
0.529997,-0.630796
0.534997,0.095730
0.539997,0.388021
0.544997,0.195499
0.549996,-0.615672
0.554996,0.057676
0.559996,-0.493259
0.564996,0.391206
0.569996,-0.879194
0.574996,-0.050042
0.579996,-0.079956
0.584996,-0.064324
0.589996,0.358550
0.594996,0.428330
0.599996,-0.980701
0.604996,0.047403
0.609996,-0.315681
0.614996,0.086343
0.619996,0.336870
0.624996,-0.286100
0.629995,0.476524
0.634995,0.059859
0.639995,-1.099688
0.644995,-0.142711
0.649995,0.264383
0.654995,0.576432
0.659995,-0.128358
0.664995,0.528475
0.669995,0.003884
0.674995,0.139184
0.679995,-0.655193
0.684995,0.005747
0.689995,-0.025074
0.694995,0.538150
0.699995,0.536151
0.704994,-0.268069
0.709994,0.584373
0.714994,-0.301171
0.719994,-0.072227
0.724994,0.693824
0.729994,-0.024298
0.734994,0.554197
0.739994,-0.747757
0.744994,0.557685
0.749994,-0.107337
0.754994,-0.265323
0.759994,0.188376
0.764994,0.359234
0.769994,-0.517657
0.774994,0.691910
0.779994,-0.129258
0.784993,-0.154766
0.789993,0.515672
0.794993,-0.956932
0.799993,-0.141242
0.804993,0.126914
0.809993,-0.407978
0.814993,-0.251462
0.819993,-0.198310
0.824993,0.428278
0.829993,0.038243
0.834993,0.283822
0.839993,0.032541
0.844993,0.612978
0.849993,-0.099973
0.854993,-0.118628
0.859993,-0.354803
0.864992,-0.171489
0.869992,-0.471493
0.874992,0.115664
0.879992,-0.086005
0.884992,-0.381985
0.889992,-0.658920
0.894992,-0.685295
0.899992,0.489607
0.904992,0.001469
0.909992,0.212717
0.914992,-0.306935
0.919992,-0.347388
0.924992,-0.232595
0.929992,0.501172
0.934992,-0.414629
0.939991,0.334643
0.944991,-0.203376
0.949991,1.288461
0.954991,-0.624674
0.959991,0.517015
0.964991,1.222769
0.969991,-0.697660
0.974991,0.995622
0.979991,-0.654180
0.984991,0.203659
0.989991,0.657893
0.994991,-0.587307
0.999991,0.264391
1.004991,0.165472
1.009991,0.017095
1.014991,0.944631
1.019992,0.613531
1.024992,-0.086620
1.029992,-0.678508
1.034992,0.010990
1.039993,-0.008189
1.044993,-0.052892
1.049993,0.710304
1.054993,-0.078487
1.059994,-0.162777
1.064994,-0.068211
1.069994,-0.299803
1.074994,-0.184748
1.079994,0.543563
1.084995,0.099156
1.089995,-0.150022
1.094995,-0.127063
1.099995,0.433034
1.104996,-0.167572
1.109996,0.480880
1.114996,-0.292253
1.119996,-0.153232
1.124997,-0.378671
1.129997,-0.828502
1.134997,0.331896
1.139997,0.131667
1.144997,-0.350441
1.149998,1.002527
1.154998,0.363947
1.159998,-0.028585
1.164998,-0.400836
1.169999,-0.157305
1.174999,0.426114
1.179999,0.228468
1.184999,-0.493457
1.190000,-0.461938
1.195000,-0.060430
1.200000,-0.187696
1.205000,0.057818
1.210001,0.084456
1.215001,-0.205174
1.220001,-0.828791
1.225001,0.712994
1.230001,0.020405
1.235002,-0.459169
1.240002,-0.530447
1.245002,-0.235625
1.250002,-1.017743
1.255003,0.264939
1.260003,0.927009
1.265003,-0.346537
1.270003,-0.043739
1.275004,0.521469
1.280004,0.456394
1.285004,0.303696
1.290004,-0.886569
1.295004,0.124557
1.300005,0.256600
1.305005,0.087445
1.310005,-0.497672
1.315005,0.090837
1.320006,-0.121550
1.325006,0.419567
1.330006,0.071684
1.335006,-0.198721
1.340007,0.301069
1.345007,-0.360463
1.350007,0.187591
1.355007,-0.668602
1.360008,-0.170039
1.365008,-0.099844
1.370008,-0.227171
1.375008,1.274041
1.380008,-0.510283
1.385009,0.281636
1.390009,-0.068662
1.395009,0.247009
1.400009,0.053281
1.405010,1.232186
