time, Quad.GPS.X
0.105000,-0.372324
0.205000,0.639925
0.305000,-0.736760
0.404998,0.869207
0.504997,0.180209
0.604996,-0.945084
0.704994,0.888173
0.804993,-0.259554
0.904992,-0.450423
1.004991,-1.571631
1.104996,-0.470558
1.205000,-0.521843
1.305005,0.253302
1.405010,0.471962
1.505014,-0.728189
1.605019,-0.303836
1.705024,0.691725
1.805028,0.977489
1.905033,-0.719620
2.005037,0.026437
2.105030,-0.246024
2.205023,0.657972
2.305015,0.154292
2.405008,0.268422
2.505001,-1.340369
2.604994,-0.121790
2.704986,-0.281107
2.804979,-0.170138
2.904972,-0.305814
3.004965,0.506264
3.104957,-1.532426
3.204950,0.510053
3.304943,-0.526600
3.404936,0.039840
3.504928,0.415440
3.604921,-0.277056
3.704914,0.223310
3.804907,-0.660131
3.904899,-0.184363
4.004892,-1.156851
4.104885,1.426218
4.204878,-0.401627
4.304871,-0.634845
4.404863,-0.235078
4.504856,0.091040
4.604849,1.096442
4.704842,0.314768
4.804834,-0.530166
4.904827,0.161558
5.004820,0.271936
5.104813,-1.176214
5.204805,0.267878
5.304798,0.533283
5.404791,-0.653248
5.504784,-1.063137
5.604776,-2.137170
5.704769,0.067976
5.804762,0.178342
5.904755,0.850338
6.004747,0.551352
6.104740,1.033736
6.204733,-0.649813
6.304726,0.149445
6.404718,0.225194
6.504711,0.974857
6.604704,0.350473
6.704697,-0.937432
6.804689,0.863478
6.904682,0.311715
7.004675,-0.503594
7.104668,-0.247217
7.204660,0.239444
7.304653,1.086502
7.404646,-0.123363
7.504639,-0.330310
7.604631,1.467765
